sub_region,fishing_zone
21.0A,Distant waters
21.1A,Distant waters
21.1B,Distant waters
21.1C,Distant waters
21.1D,Distant waters
21.1E,Distant waters
21.3L,Distant waters
21.3M,Distant waters
21.3N,Distant waters
21.3O,Distant waters
27.1.A,North Western Waters
27.1.B,North Western Waters
27.10.A,South Western Waters
27.10.B,South Western Waters
27.12,North Western Waters
27.14.A,North Western Waters
27.14.B COAST,North Western Waters
27.14.B RFMO,North Western Waters
27.2 EU,North Western Waters
27.2.A,North Sea
27.2.B,North Western Waters
27.3.A N,North Sea
27.3.A S,North Sea
27.3.B.23,Baltic Sea
27.3.C.22,Baltic Sea
27.3.D.24,Baltic Sea
27.3.D.25,Baltic Sea
27.3.D.26,Baltic Sea
27.3.D.27,Baltic Sea
27.3.D.28.1,Baltic Sea
27.3.D.28.2,Baltic Sea
27.3.D.29,Baltic Sea
27.3.D.30,Baltic Sea
27.3.D.31,Baltic Sea
27.3.D.32,Baltic Sea
27.4,North Sea
27.5.A,North Western Waters
27.5.B COAST,North Western Waters
27.5.B EU,North Western Waters
27.6.A,North Western Waters
27.6.B EU,North Western Waters
27.6.B RFMO,North Western Waters
27.7.A,North Western Waters
27.7.B,North Western Waters
27.7.C EU,North Western Waters
27.7.C RFMO,North Western Waters
27.7.D,North Western Waters
27.7.E,North Western Waters
27.7.F,North Western Waters
27.7.G,North Western Waters
27.7.H,North Western Waters
27.7.J EU,North Western Waters
27.7.J RFMO,North Western Waters
27.7.K EU,North Western Waters
27.7.K RFMO,North Western Waters
27.8.A,South Western Waters
27.8.B,South Western Waters
27.8.C,South Western Waters
27.8.D EU,South Western Waters
27.8.D RFMO,South Western Waters
27.8.E EU,South Western Waters
27.8.E RFMO,South Western Waters
27.9.A,South Western Waters
27.9.B EU,South Western Waters
27.9.B RFMO,South Western Waters
34.1.1 COAST,South Western Waters
34.1.2 COAST,South Western Waters
34.1.3 COAST,South Western Waters
34.2.0 COAST,South Western Waters
34.3.1,Distant waters
34.3.3,Distant waters
BSA,
GSA1,Mediterranean and Black Sea
GSA10,Mediterranean and Black Sea
GSA11,Mediterranean and Black Sea
GSA11.1,Mediterranean and Black Sea
GSA11.2,Mediterranean and Black Sea
GSA12,Mediterranean and Black Sea
GSA13,Mediterranean and Black Sea
GSA14,Mediterranean and Black Sea
GSA15,Mediterranean and Black Sea
GSA16,Mediterranean and Black Sea
GSA17,Mediterranean and Black Sea
GSA18,Mediterranean and Black Sea
GSA19,Mediterranean and Black Sea
GSA2,Mediterranean and Black Sea
GSA20,Mediterranean and Black Sea
GSA21,Mediterranean and Black Sea
GSA22,Mediterranean and Black Sea
GSA23,Mediterranean and Black Sea
GSA28,Mediterranean and Black Sea
GSA29,Mediterranean and Black Sea
GSA3,Mediterranean and Black Sea
GSA4,Mediterranean and Black Sea
GSA5,Mediterranean and Black Sea
GSA6,Mediterranean and Black Sea
GSA7,Mediterranean and Black Sea
GSA8,Mediterranean and Black Sea
GSA9,Mediterranean and Black Sea
21.3K,Distant waters
21.4V,Distant waters
21.6E,Distant waters
21.6F,Distant waters
21.6G,Distant waters
21.6H,Distant waters
31,Distant waters
34.1.1 EU,South Western Waters
34.1.2 EU,South Western Waters
34.1.2 RFMO,South Western Waters
34.1.3 RFMO,South Western Waters
34.2.0 RFMO,South Western Waters
34.3.2,Distant waters
34.3.4,Distant waters
34.3.5,Distant waters
34.3.6,Distant waters
34.4.1,Distant waters
34.4.2,Distant waters
41,Distant waters
41.1,Distant waters
41.2,Distant waters
41.3,Distant waters
47.1,Distant waters
47.A,Distant waters
47.B,Distant waters
47.C,Distant waters
51,Distant waters
51.1,Distant waters
51.3,Distant waters
51.4,Distant waters
51.5,Distant waters
51.6,Distant waters
51.7,Distant waters
51.8,Distant waters
57,Distant waters
57.1,Distant waters
57.3,Distant waters
57.4,Distant waters
58.4,Distant waters
71,Distant waters
77,Distant waters
81,Distant waters
87,Distant waters
87.1,Distant waters
87.2,Distant waters
87.3,Distant waters
88.1,Distant waters
88.2,Distant waters
27.4.C,North Sea
27.4.B,North Sea
27.4.A,North Sea
27.7.J,North Western Waters
27.3.A.20,North Sea
27.7.C,North Western Waters
27.7.K,North Western Waters
27.6.B,North Western Waters
27.3.A.21,North Sea
27.8.D,South Western Waters
27.14.B,North Western Waters
27.5.B,North Western Waters
34.1.3,Distant waters
27.9.B,South Western Waters
NK,
27.8.E,South Western Waters
34.2.0,Distant waters
34.1.1,Distant waters
34.1.2,Distant waters
57.2,Distant waters
GSA24,Mediterranean and Black Sea
GSA25,Mediterranean and Black Sea
GSA26,Mediterranean and Black Sea
